id;date;tweet;user;class
0;2022-03-19 14:05:45+00:00; Lanjut ! Setuju ajukan hak angket soal minyak goreng yg langka, begitu harga naik langsung melimpah. Harus dicari dg detil penyebabnya. Pemerintah sekarang nganggap enteng kesulitan rakyat kecil, apalagi yg tak dpt bantuan pemerintah;Mbah Tokok;negatif
1;2022-03-19 13:35:44+00:00;Kemarin waktu minyak goreng langka. saya dari warung, minimarket dan supermarket sudah keliling dan tidak ketemu. Eh pasca sehari pemerintah umumin penghapusan HET seketika semua tersedia. Jadi masih percaya tidak ada mafia?;Tacipi City;negatif
2;2022-03-19 13:22:45+00:00;"Puan Murka Harga Minyak Goreng Belum Normal Ibu-Ibu Menjerit ""Kami meminta komitmen pemerintah untuk menyelesaikan persoalan minyak goreng yang masih langka di pasaran dan membuat masyarakat kesulitan."" Puan Maharani  ";Ayun hamunta;bot
3;2022-03-19 13:20:43+00:00;Harga minyak goreng curah pada tingkat agen itu berarti sekitar Rp18 ribu per liter atau jauh di atas HET subsidi yang ditetapkan pemerintah sebesar Rp14 ribu per liter.\xc2\xa0  ;Media Indonesia;normal
4;2022-03-19 13:20:05+00:00;Menolak lupa!!!Dulu BBM naik, demo berjilid2.Itu dulu, skrg mak Banteng lupa bhw minyak goreng mrupakan kbutuhan pokok didapur yg tengah langka &amp;-;negatif
5;2022-03-19 12:54:17+00:00;"Puan Murka Harga Minyak Goreng Belum Normal Ibu-Ibu Menjerit ""Kami meminta komitmen pemerintah untuk menyelesaikan persoalan minyak goreng yang masih langka di pasaran dan membuat masyarakat kesulitan."" Puan Maharani  ";Olisna;bot
6;2022-03-19 12:35:15+00:00; 42 Alhamdulillah, berkat MotoGP dan minyak goreng langka, Ramadhan kita kali terbebas dari si covid, makasih pemerintah...;TIGA PERIODE;normal
7;2022-03-19 12:10:06+00:00;  Pantesan minyak goreng langka, lha wong apa yg dilakukan pemerintah banyak yg menggorengnya bahkan sampe gosong.. ;PuTunE Mbah ToWo🇮🇩;negatif
8;2022-03-19 12:00:57+00:00;Sudah Dijamin Dapat Subsidi dari Pemerintah, Eh Minyak Goreng Curah Di Daerah Ini Masih Langka ;VOI.id;negatif
9;2022-03-19 11:02:39+00:00;"Puan Murka Harga Minyak Goreng Belum Normal Ibu-Ibu Menjerit ""Kami meminta komitmen pemerintah untuk menyelesaikan persoalan minyak goreng yang masih langka di pasaran dan membuat masyarakat kesulitan."" Puan Maharani  ";Dandi;bot
10;2022-03-19 10:37:53+00:00;"Puan Murka Harga Minyak Goreng Belum Normal Ibu-Ibu Menjerit ""Kami meminta komitmen pemerintah untuk menyelesaikan persoalan minyak goreng yang masih langka di pasaran dan membuat masyarakat kesulitan."" Puan Maharani  ";Anti Suspend² Club;bot
11;2022-03-19 10:27:13+00:00;"Puan Murka Harga Minyak Goreng Belum Normal Ibu-Ibu Menjerit ""Kami meminta komitmen pemerintah untuk menyelesaikan persoalan minyak goreng yang masih langka di pasaran dan membuat masyarakat kesulitan."" Puan Maharani  ";Lara;bot
12;2022-03-19 09:56:28+00:00;"Puan Murka Harga Minyak Goreng Belum Normal Ibu-Ibu Menjerit ""Kami meminta komitmen pemerintah untuk menyelesaikan persoalan minyak goreng yang masih langka di pasaran dan membuat masyarakat kesulitan."" Puan Maharani  ";Nada;bot
13;2022-03-19 09:43:37+00:00; Substansi nya adalah di negeri penghasil sawit terbesar, minyak goreng bisa langka, ini tugas DPR dan pemerintah membuat regulasi kepentingan rakyat... Bukan cara memasak, jika kalian gagal selama 2 periode bukan nya minta nambah waktu berkuasa, serahkan kepada rakyat;hasan;negatif
14;2022-03-19 09:33:38+00:00;Pemerintah sudah menjamin stok minyak goreng terpenuhi. Jadi ibu-ibu TIDAK PERLU panik tentang minyak goreng langka dan mahal minyakgoreng ;Nisa Andini;normal
15;2022-03-19 09:32:06+00:00;Pemerintah telah menetapkan HET minyak goreng curah di pasaran namun masih ada yg mengeluhkan mahalnya harga minyak goreng curah atau minyak masih langka. Dukung pemerintah untuk mengurai permainan bisnis minyak goreng ini. Jangan tangkap yg ecek2, tangkap kakapnya! ;Kejar daku, kau kutangkap;normal
16;2022-03-19 09:30:02+00:00;  ri Perjuangan @66Hasto Untk mengumumkan keputusan migor mengikuti harga keekonomian ga perlu pejabat sekelas presiden/menteri,anak SD juga bisa bu... penguasa menyerah dgn mafia minyak goreng padahal kalo mau bisa diusut dgn mudah. Berbulan\xc2\xb2 langka ngapain aja pemerintah dan PDIP partai wong licik?;netralitas;negatif
17;2022-03-19 09:09:59+00:00;"Puan Murka Harga Minyak Goreng Belum Normal Ibu-Ibu Menjerit ""Kami meminta komitmen pemerintah untuk menyelesaikan persoalan minyak goreng yang masih langka di pasaran dan membuat masyarakat kesulitan."" Puan Maharani  ";Iswanto;bot
18;2022-03-19 08:42:37+00:00;Amin. Semoga di bulan Ramadhan masyarakat tak perlu khawatir minyak goreng langka, karena pemerintah melalui Mendag Muhammad Lutfi pastikan minyak goreng subsidi untuk rakyat tetap ada dan cukup.  ;Na;normal
19;2022-03-19 08:35:21+00:00;Misalnya di Minimarket X, kemarin langka minyak, hari ini banyak. Tinggal tanya minyak ini di supply darimana? Datangi tempatnya, periksa dan proses hukum. Jadi dengan pencabutan ini, malah makin memudahkan pemerintah menangkap penimbun minyak goreng.Jadi tunggu apa lagi?;Teddy Gusnaidi;normal
20;2022-03-19 08:11:49+00:00;minyak langka ini gegara pemerintah kebanyakan goreng isu radikal...cuaaksss..;kuro;negatif
21;2022-03-19 08:09:59+00:00;chantika Masalahnya bukan minyak goreng atau bukan.Tapi dimana kehadiran pemerintah saat rakyat susah.Lahan sawit umumnya milik negara pengusaha cuma numpang nanam dan terbesar didunia serta pabriknya banyak eh bisa2nya langka dan mahal.Giliran harga Migor tinggi lansung banyak,Ambyar;USMAN, Z;negatif
22;2022-03-19 08:03:21+00:00;"sajak Jadi kalian setuju dgn kartel bikin ulah langka minyak goreng , sukses memaksa pemerintah hapus HET minyak goreng untuk konsumsi dlm negeri ? . Kalian pendukung kartel minyak atau pendukung jokowi ? Mikir sblm njeplak ""HET itu benernya sistem komunis, petani ga boleh kaya""";Suheri adi;negatif
23;2022-03-19 07:45:09+00:00;Berita lainnya   Sejak Pemerintah mengumumkan pemberian subsidi disertai kenaikan HET, minyak goreng curah menjadi langka. Petugas gabungan pun menemukan adanya tangki berisi migor curah yang ditimbun pemilik agen saat melakukan sidak.Liputan6SCTV ;SCTV;normal
24;2022-03-19 07:26:16+00:00;Soal Minyak Goreng Langka, Pemerintah Mau Murah Beli Curah, Jika Kemasan Ya Tentu Saja...  ;Jambi Independent;normal
25;2022-03-19 06:49:34+00:00;Solusi pemerintah sekarang keren\xc2\xb2 emangRakyat pak cabe mahalMereka ya ngak usah makan cabeRakyat pak minyak goreng langkaMereka ya ngak usah ngegorengJADI LU KERJAANYA APA DONG BESTIE, KALO GINI ANAK TK JUGA BISA;Ujin;negatif
26;2022-03-19 06:27:23+00:00;1nn Masa negara terbesar penghasil minyak sawit,.minyaknya malah langka? Itu mah permainan penimbun sama program pemerintah yg minyak sawit jadi solar itu jadi pengusaha sawit banyak yg jual buat proyek itu dan bukan buat minyak goreng cmiiw;Miss Raynor🦄 $QOM;negatif
27;2022-03-19 06:06:17+00:00;Minyak goreng langka, di beberapa daerah minyak ada tapi malah mahal banget harganya! Ini sekarang gula naik harganya! Pemerintah sekarang nyiksa rakyatnya! ;디바 살사빌라;negatif
28;2022-03-19 05:49:06+00:00;ironi-minyak-goreng-harga-murah-barang-langka-giliran-mahal-pasokan-banjir goreng kemasan sempat langka setelah pemerintah menetapkan harga eceran tertinggi. Kini pasokan melimpah setelah HET dicabut, namun harganya melonjak.;🇮🇩 YUNANKINGSTAR1 🇮🇩;normal
29;2022-03-19 05:36:02+00:00; Kemaren langka gara2 pemerintah menerapkan haraga 14 ribu untuk minyak goreng makanya pengusaha marah karna terlalu murah, akhirnya minyak goreng ditimbun supaya langka han harganya mahal, seteleh itu baru dikeluarkan lagi migornya, dan endingnya pengusaha dapat cuan yg banyak;Nil Selian;normal
30;2022-03-19 05:26:37+00:00;Minyak goreng kemasan sempat langka setelah pemerintah menetapkan harga eceran tertinggi. Kini pasokan melimpah setelah HET dicabut, namun harganya melonjak. ;Chimoy2912;bot
31;2022-03-19 05:20:46+00:00;Minyak goreng kemasan sempat langka setelah pemerintah menetapkan harga eceran tertinggi. Kini pasokan melimpah setelah HET dicabut, namun harganya melonjak. ;DetikFinance;bot
32;2022-03-19 05:17:17+00:00;Pemerintah ;-;normal
33;2022-03-19 04:42:26+00:00;Pemerintah akan menindak tegas semua mafia minyak goreng yang saat ini mungkin sedang menimbun dikala minyak goreng sedang mahal dan langkaHukumBerkeadilanProJustisiaTegakkanHukumfff followforfollowback ;Info Semar;normal
34;2022-03-19 04:37:01+00:00;Megawati bilang gitu dan Pemerintah pun bikin langka Minyak Goreng, pasti gara2 abis nonton Ade Rai.;Sarjana Sarkas;normal
35;2022-03-19 04:23:58+00:00;[5] serta langka, termasuk ketersediaan CPO untuk minyak goreng.Airlangga mengatakan untuk melaksanakan kebijakan ini pemerintah telah bertemu dengan para produsen minyak goreng.Dalam pertemuan dicapai beberapa hasil. Pertama, pemerintah meminta para produsen minyak goreng;Radio Patria;normal
36;2022-03-19 03:25:02+00:00;Minyak goreng di Kota Banjarmasin terus jadi perbincangan hangat. Harganya bahkan menembus Rp50 ribu. Begini imbasnya ke pemerintah kota  ;apahabar;normal
37;2022-03-19 03:22:47+00:00;Direktur Jenderal Perdagangan Dalam Negeri Kemendag, Oke Nurwan mengatakan minyak goreng langka terjadi akibat masalah distribusi, bukan karena pasokan yang minim. Kemendag tengah menyiapkan perusahaan yang akan membantu mengelola minyak pemerintah.;HIMATEKIN ULM;normal
38;2022-03-19 03:22:39+00:00;Cara Pemerintah dan Masyarakat Menghadappi Kelangkaan Minyak Goreng Langka di Negeri LumbungSawitA thread;HIMATEKIN ULM;normal
39;2022-03-19 03:13:20+00:00;Solusi yang diberikan pemerintah akhirnya memutuskan untuk menggelontorkan duit subsidi Rp 3,6 triliun untuk penyediaan minyak goreng murah seharga Rp 14.000 per liter.Percuma aja sih kalo minyak murah tapi ujung-ujungnya ditimbun dan dibuat langka lagi.;DIVA PURBAWISESA.;normal
40;2022-03-19 03:08:46+00:00; Ini gerombolan teriak2 nyalahin pemerintah minyak goreng langka, nggak taunya dia timbun di ganti merek *kita 212*...;Misbakhuddin Sirahan;normal
41;2022-03-19 02:33:53+00:00;"  cngir  Minyak goreng HET 14.000 stocknya langka/gak ada dipasaran, begitu HET 14.000 dicabut, langsung ""banjir "" stocknya dipasaran tp harganya 28.000/ltr. Berarti selama ini pengusaha/cebong tdk patuh sama pemerintah.";N. Faisal;normal
42;2022-03-19 02:22:24+00:00;Minyak Goreng Langka dan Mahal, Iwan Fals Kritik Pemerintah Lewat Lagu ;Covesia.com;normal
43;2022-03-19 02:08:20+00:00;minyak goreng langkapemerintah cabut hetminyak goreng jadi banyak tapi mahalkalo mau ngeprank mafia minyak goreng kan pemerintah tinggal terapin het lagi ga sih???;aji;normal
44;2022-03-19 01:56:40+00:00;Minyak goreng langka, harganya dikembalikan pemerintah ke harga pasar untuk mengatasi kelangkaan, namun baru terealisasi pekan depan;satoshi;normal
45;2022-03-19 01:33:55+00:00;Soal minyak goreng yg langka di pasar &amp;-;normal
46;2022-03-19 01:27:33+00:00;Menurut gw jatohnya malah ga nyambung. Ntah goreng tiap hari/ga, pointnya minyak goreng itu salah 1 dr sembako (sembilan bahan pokok). Kalo smpe langka/harga naik, pemerintah harusnya punya solusi atau atleast punya statement yg masuk akal knp itu terjadi.;TEA;normal
47;2022-03-19 01:22:28+00:00;"Harusnya pemerintah yang mencari alternatif, bukan rakyat yang harus mencari alternatif dengan langka nya minyak goreng.Bener kata emak enak "" emangnya mau buat bakwan direbus""Yang harus nya ibu kritik itu pemerintah.KabinetJokowiGagal";➳ᴹᴿ᭄𝙱𝚎𝚎;negatif
48;2022-03-19 01:20:00+00:00;Pemerintah naikkan harga minyak goreng curah jadi Rp14 ribu per liter.;NOVA;normal
49;2022-03-19 00:45:04+00:00;Minyak goreng langka solusinya HET dicabut ... Pemerintah   ini super duper kapitalis dan terindikasi melanggar pasal UUD 1945 pasal 33, TURUN aja kalau sudah nggak mampu Pak!!Bisa2nya DIDIKTE dan TAKUT sama PENGUSAHA yg kelapa sawitnya di tanam di TANAH NEGARA!;Jejak_Langkah;negatif
50;2022-03-19 00:41:50+00:00;Model tipu2 mafia minyak goreng mungkin layak tiru. Contohnya niiih guru2 dibikin langka, ditimbun nggak usah keluar2 ngajar sampe sekolah, pemerintah n orang tua kelimpungan panik. Lalu dikeluarkan lah guru2 ini dengan harga 2x lipat. Ya nggak uni ?;DW;negatif
51;2022-03-19 00:40:38+00:00;trus klo penjual gorengan gimana bu? apa gorengannya harus direbus atau dikukus sj?pemerintah ga usah njelimet knp rakyat butuh minyak goreng,pemerintah harus bpikir bagaimana caranya minyk goreng tdk langka dan mahal. ;NorthPapua;negatif
52;2022-03-19 00:29:02+00:00;Ngerasain harga minyak goreng 14 ribu baru sekali (cm boleh beli 2 liter pula) terus minyak lgsg langka, tiba2 HET nya dicabut, lgsg banyak lg minyaknya?! (kalo pake logika minyak sayur gamungkin langka) huhu pemerintah kok lebih kayak OVJ ya?;fatcheeks;negatif
53;2022-03-19 00:20:17+00:00;Minyak Goreng Langka seperti ada Konspirasi Pemerintahan  terhadap Mafia MiGor. Rakyat mulai lah buat Minyak Goreng Sendiri dan jangan Beli Minyak Goreng supaya Pemerintah Merasakan saat Rakyat sudah tak Perduli lagi pada  . Mau 3 Periode tanda Tak Tau Diri.;Brigade Soeharto (Founder);negatif
54;2022-03-18 23:15:35+00:00;Dari dulu minyak goreng tidak langka, ketika langka masyarakat disuruh makan rebus2an saja.Masyarakat sudah bayar pajak, ikut BPJS. Sekarang tugas pemerintah yang mengatur agar kebutuhan rakyat tersedia.KabinetJokowiGagalKabinetJokowiGagal  ;Aynie;negatif
55;2022-03-18 23:04:10+00:00;Kirain minyak goreng langka karena dipake bandar buat goreng saham. Ternyata dipake pemerintah buat goreng buzzer. ;Eko Afrizal;negatif
56;2022-03-18 22:40:14+00:00; Lah pointnya kan sekarang minyak goreng yang biasa dipakai masak makanan itu d gegara pemerintah ga becus. Jadi antre dan berebut minyak goreng. Bukan karena rebutan menggoreng. Dikira ga punya dapur masing-masing apa gimana???;Orang Lewat;negatif
57;2022-03-18 22:33:09+00:00;MenteriMendag Minyak Goreng Penting Emak-emak Menjerit, Ini 3 Janji Manis Pemerintah Atasi Minyak Goreng Langka;Dewintha;normal
58;2022-03-18 22:22:25+00:00;NEGARA DIKUASASI PENIMBUNFokus Ekonomi  | Edisi 97Oleh Pujo Nugroho - Pemerintah seperti dipermainkan oleh pengusaha minyak goreng. Diketahui di seluruh Indonesia, minyak goreng menjadi barang langka dan harganya sangat ma ;Muhammad Abdillah Ibnu Yusuf;negatif
59;2022-03-18 22:10:41+00:00; Mau tanya pak? Seblm kenaikan harga minyak  goreng apakh pemerintah melakukan subsidi? Kok tiba2 harga melejit apakh karna di cabut subsidi? Apakh bahan saeit langka?;Edo setia;normal
60;2022-03-18 17:15:00+00:00;Seharusnya pemerintah memahami skenario mereka. Membuat minyak goreng langka, menimbun, menyelundupkan, dan menaikkan harga tentu hal itu ada motif tersendiri. Kemungkinan juga ada elit politik yang melatarbelakanginya. Apakah pemerintah berani menghadapinya ?, ini demi rakyat.;Samuel Herman;negatif
61;2022-03-18 16:39:09+00:00;SIKLUS MINYAK GORENG DI INDO1.harga minyak murah minyak langka pemerintah bagi-bagi minyak2.harga minyak mahal b banyak yang gak mampu beli pemerintah bagi-bagi minyak;Naufal Firdaus;normal
62;2022-03-18 15:57:52+00:00; Logika Saja istri saya Minyak Goreng 2liter Lebih dari cukup 1Minggu Logika SayaJika Langka di pasaran pasti ada penimbun Yg gak suka sama Pemerintah.;jokosurono23121👨👩👧👦👧👧;normal
63;2022-03-18 15:33:27+00:00;"minyak goreng langka, curiga program pemerintah ""Indonesia Bebas Kolesterol""";dindayup🍑;normal
64;2022-03-18 14:25:39+00:00;Fact check (da kaya big tech aja gw) Hari ini minyak goreng bermunculan kembali di setiap mart2 dan toko. Hanya sehari dinyatakan dengan harga naik drastic dr sblm langka. pemerintah ga diatur olh pengusaha keep laughing for this and sad at the same time for my wakanda. ;Mamak Beruang;negatif
65;2022-03-18 14:23:47+00:00;Jangan terlalu menyalahkan rakyat,salah pemerintah juga kenapa minyak goreng langka..karena rakyat mau beli bukan minta.. ;DIMAS BACK;negatif
